,0,1
0,0.0,0.0
1,-187.1,256.09999999999997
2,-76.1,256.09999999999997
3,76.19999999999999,256.09999999999997
4,187.2,256.09999999999997
5,-231.0,212.2
6,-32.199999999999996,212.19999999999996
7,-11.049999999999997,212.19999999999996
8,32.29999999999999,212.19999999999996
9,231.1,212.2
10,0.0,0.0
11,-32.199999999999996,97.0
12,-11.049999999999997,97.0
13,32.199999999999996,97.0
14,-231.0,84.6
15,91.0,40.699999999999996
16,0.0,0.0
17,187.2,40.69999999999999
18,231.1,84.6
19,91.0,19.549999999999997
20,187.2,19.54999999999999
21,91.0,-1.6000000000000014
22,187.2,-1.6000000000000085
23,-187.1,1.6000000000000227
24,-91.0,1.6000000000000014
25,-187.1,-19.549999999999976
26,-91.0,-19.549999999999997
27,-187.1,-40.699999999999974
28,-91.0,-40.699999999999996
29,91.0,-40.69999999999999
30,0.0,0.0
31,187.1,-40.69999999999999
32,231.0,-84.6
33,-187.1,40.699999999999996
34,-231.0,-84.59999999999997
35,-231.0,-212.2
36,-10.100000000000001,-212.19999999999996
37,11.049999999999997,-212.19999999999996
38,32.199999999999996,-212.19999999999996
39,231.0,-212.2
40,-187.1,-256.09999999999997
41,-76.1,-256.09999999999997
42,76.1,-256.09999999999997
43,187.1,-256.09999999999997
44,-91.0,40.699999999999996
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
