x,y
66.85,-109.50000000000001
67.6,-108.81036585365855
68.35,-108.12073170731709
69.1,-107.43109756097563
69.85,-106.74146341463415
70.6,-106.05182926829269
71.35,-105.36219512195123
72.1,-104.67256097560977
72.85,-103.98292682926831
73.6,-103.29329268292685
74.35,-102.60365853658537
75.1,-101.91402439024391
75.85,-101.22439024390245
76.6,-100.53475609756099
77.35,-99.84512195121953
78.1,-99.15548780487806
78.85,-98.46585365853659
79.6,-97.77621951219513
80.35,-97.08658536585367
81.1,-96.3969512195122
81.85,-95.70731707317074
82.6,-95.01768292682928
83.35,-94.32804878048782
84.1,-93.63841463414634
84.85,-92.94878048780488
85.6,-92.25914634146342
86.35,-91.56951219512196
87.1,-90.8798780487805
87.85,-90.19024390243902
88.6,-89.50060975609756
89.35,-88.8109756097561
90.1,-88.12134146341464
90.85,-87.43170731707318
91.6,-86.74207317073171
92.35,-86.05243902439025
93.1,-85.36280487804879
93.85,-84.67317073170733
94.6,-83.98353658536585
95.35,-83.2939024390244
96.1,-82.60426829268293
96.85,-81.91463414634147
97.6,-81.225
98.35,-80.53536585365853
99.1,-79.84573170731707
99.85,-79.15609756097561
100.6,-78.46646341463415
101.35,-77.77682926829269
102.1,-77.08719512195123
102.85,-76.39756097560976
103.6,-75.7079268292683
104.35,-75.01829268292683
105.1,-74.32865853658537
105.85,-73.6390243902439
106.6,-72.94939024390243
107.35,-72.25975609756097
108.1,-71.5701219512195
108.85,-70.88048780487804
109.6,-70.19085365853658
110.35,-69.50121951219512
111.1,-68.81158536585366
111.85,-68.1219512195122
112.6,-67.43231707317074
113.35,-66.74268292682927
114.1,-66.0530487804878
114.85,-65.36341463414634
115.6,-64.67378048780488
116.35,-63.98414634146341
117.1,-63.294512195121946
117.85,-62.604878048780485
118.6,-61.915243902439016
119.35,-61.225609756097555
120.1,-60.53597560975609
120.85,-59.84634146341463
121.6,-59.15670731707316
122.35,-58.4670731707317
123.1,-57.77743902439024
123.85,-57.08780487804877
124.6,-56.39817073170731
125.35,-55.70853658536585
126.1,-55.01890243902438
126.85,-54.32926829268292
127.6,-53.63963414634146
128.35,-52.949999999999996
