x,y
231.1,-88.49999999999997
231.1,-89.51393442622948
231.1,-90.527868852459
231.1,-91.54180327868849
231.1,-92.555737704918
231.1,-93.56967213114751
231.1,-94.58360655737702
231.1,-95.59754098360654
231.1,-96.61147540983603
231.1,-97.62540983606554
231.1,-98.63934426229505
231.1,-99.65327868852457
231.1,-100.66721311475408
231.1,-101.68114754098357
231.1,-102.69508196721308
231.1,-103.7090163934426
231.1,-104.7229508196721
231.1,-105.73688524590162
231.1,-106.75081967213112
231.1,-107.76475409836063
231.1,-108.77868852459014
231.1,-109.79262295081965
231.1,-110.80655737704916
231.1,-111.82049180327866
231.1,-112.83442622950817
231.1,-113.84836065573768
231.1,-114.86229508196719
231.1,-115.8762295081967
231.1,-116.8901639344262
231.1,-117.90409836065571
231.1,-118.91803278688522
231.1,-119.93196721311473
231.1,-120.94590163934424
231.1,-121.95983606557374
231.1,-122.97377049180325
231.1,-123.98770491803276
231.1,-125.00163934426227
231.1,-126.01557377049178
231.1,-127.02950819672128
231.1,-128.0434426229508
231.1,-129.0573770491803
231.1,-130.0713114754098
231.1,-131.08524590163933
231.1,-132.09918032786882
231.1,-133.11311475409835
231.1,-134.12704918032784
231.1,-135.14098360655734
231.1,-136.15491803278687
231.1,-137.16885245901636
231.1,-138.1827868852459
231.1,-139.1967213114754
231.1,-140.21065573770488
231.1,-141.2245901639344
231.1,-142.2385245901639
231.1,-143.25245901639343
231.1,-144.26639344262293
231.1,-145.28032786885245
231.1,-146.29426229508195
231.1,-147.30819672131145
231.1,-148.32213114754097
231.1,-149.33606557377047
231.1,-150.34999999999997
231.1,-151.3639344262295
231.1,-152.37786885245902
231.1,-153.3918032786885
231.1,-154.405737704918
231.1,-155.41967213114754
231.1,-156.43360655737703
231.1,-157.44754098360653
231.1,-158.46147540983605
231.1,-159.47540983606555
231.1,-160.48934426229505
231.1,-161.50327868852457
231.1,-162.5172131147541
231.1,-163.5311475409836
231.1,-164.5450819672131
231.1,-165.55901639344262
231.1,-166.57295081967212
231.1,-167.5868852459016
231.1,-168.60081967213114
231.1,-169.61475409836063
231.1,-170.62868852459013
231.1,-171.64262295081966
231.1,-172.65655737704915
231.1,-173.67049180327865
231.1,-174.68442622950818
231.1,-175.6983606557377
231.1,-176.7122950819672
231.1,-177.7262295081967
231.1,-178.74016393442622
231.1,-179.75409836065575
231.1,-180.76803278688524
231.1,-181.78196721311474
231.1,-182.79590163934424
231.1,-183.80983606557373
231.1,-184.82377049180326
231.1,-185.83770491803278
231.1,-186.85163934426228
231.1,-187.86557377049178
231.1,-188.8795081967213
231.1,-189.89344262295083
231.1,-190.9073770491803
231.1,-191.92131147540982
231.1,-192.93524590163935
231.1,-193.94918032786882
231.1,-194.96311475409834
231.1,-195.97704918032787
231.1,-196.99098360655736
231.1,-198.00491803278686
231.1,-199.0188524590164
231.1,-200.03278688524588
231.1,-201.04672131147538
231.1,-202.0606557377049
231.1,-203.07459016393443
231.1,-204.08852459016393
231.1,-205.10245901639342
231.1,-206.11639344262295
231.1,-207.13032786885245
231.1,-208.14426229508194
231.1,-209.15819672131147
231.1,-210.17213114754097
231.1,-211.18606557377046
231.1,-212.2
