x,y
52.6,-212.19999999999996
52.6,-211.1728571428571
52.6,-210.14571428571423
52.6,-209.11857142857139
52.6,-208.09142857142854
52.6,-207.0642857142857
52.6,-206.0371428571428
52.6,-205.00999999999996
52.6,-203.9828571428571
52.6,-202.95571428571427
52.6,-201.9285714285714
52.6,-200.90142857142854
52.6,-199.8742857142857
52.6,-198.8471428571428
52.6,-197.81999999999996
52.6,-196.79285714285712
52.6,-195.76571428571427
52.6,-194.7385714285714
52.6,-193.71142857142854
52.6,-192.6842857142857
52.6,-191.65714285714284
52.6,-190.62999999999997
52.6,-189.60285714285712
52.6,-188.57571428571427
52.6,-187.5485714285714
52.6,-186.52142857142854
52.6,-185.4942857142857
52.6,-184.46714285714285
52.6,-183.43999999999997
52.6,-182.41285714285712
52.6,-181.38571428571427
52.6,-180.35857142857142
52.6,-179.33142857142855
52.6,-178.3042857142857
52.6,-177.27714285714285
52.6,-176.25
52.6,-175.22285714285712
52.6,-174.19571428571427
52.6,-173.16857142857143
52.6,-172.14142857142855
52.6,-171.1142857142857
52.6,-170.08714285714285
52.6,-169.06
52.6,-168.03285714285713
52.6,-167.00571428571428
52.6,-165.97857142857143
52.6,-164.95142857142855
52.6,-163.9242857142857
52.6,-162.89714285714285
52.6,-161.87
52.6,-160.84285714285716
52.6,-159.81571428571428
52.6,-158.78857142857143
52.6,-157.76142857142858
52.6,-156.7342857142857
52.6,-155.70714285714286
52.6,-154.68
52.6,-153.65285714285716
52.6,-152.62571428571428
52.6,-151.59857142857143
52.6,-150.57142857142858
52.6,-149.5442857142857
52.6,-148.51714285714286
52.6,-147.49
52.6,-146.46285714285716
52.6,-145.4357142857143
52.6,-144.40857142857143
52.6,-143.38142857142856
52.6,-142.3542857142857
52.6,-141.32714285714286
52.6,-140.3
