x,y
-231.0,-88.49999999999993
-230.99250409510853,-87.29794723240853
-230.9700189402787,-86.09630496473606
-230.93255221417036,-84.8954835567161
-230.8801167116361,-83.6958930877594
-230.81273033935202,-82.49794321691213
-230.7304161097025,-81.30204304295779
-230.6332021329216,-80.1086009647102
-230.5211216074933,-78.91802454154576
-230.39421280881436,-77.73072035422229
-230.2525190761233,-76.54709386603204
-230.09608879769996,-75.36754928433643
-229.92497539434117,-74.1924894225295
-229.73923730111738,-73.02231556247757
-229.53893794741734,-71.85742731748189
-229.32414573528675,-70.69822249581094
-229.09493401606935,-69.54509696484936
-228.85138106535723,-68.39844451590962
-228.59357005625998,-67.25865672975253
-228.321589031001,-66.12612284286293
-228.03553087085123,-65.00122961452566
-227.7354932644103,-63.88436119474767
-227.421578674246,-62.77589899307114
-227.09389430190328,-61.676221548322516
-226.75255205129505,-60.58570439934173
-226.39766849048723,-59.50471995673613
-226.02936481189073,-58.433637375702574
-225.64776679087433,-57.37282242996126
-225.2530047428127,-56.32263738684434
-224.84521347858353,-55.28344088358193
-224.42453225853006,-54.25558780482794
-223.99110474490348,-53.23942916146711
-223.54507895280267,-52.23531197074524
-223.086607199627,-51.243579137763085
-222.61584605306018,-50.26456933837457
-222.13295627760252,-49.29861690352932
-221.6381027796699,-48.34605170509892
-221.1314545512786,-47.40719904322598
-220.6131846123344,-46.48237953523444
-220.08346995154673,-45.57190900613906
-219.54249146598693,-44.676098380791395
-218.99043389931222,-43.79525357769941
-218.42748577867593,-42.92967540455637
-217.85383935034548,-42.07965945551547
-217.26969051405064,-41.24549601024458
-216.67523875608387,-40.42746993479608
-216.07068708117592,-39.62586058432534
-215.45624194316994,-38.8409417076912
-214.8321131745177,-38.07298135397095
-214.1985139146219,-37.322241780921864
-213.55566053704933,-36.58897936542037
-212.90377257563955,-35.873444515909625
-212.24307264953418,-35.175881586885225
-211.57378638715267,-34.49652879544839
-210.89614234914052,-33.83561813995504
-210.21037195031593,-33.19337532078856
-209.51670938064183,-32.57001966328334
-208.8153915252503,-31.96576404282535
-208.10665788354646,-31.3808148121554
-207.39075048741975,-30.815371730899926
-206.66791381859002,-30.269627897353153
-205.93839472511752,-29.74376968253428
-205.20244233710434,-29.237976666541904
-204.4603079816168,-28.752421577227665
-203.71224509685743,-28.287270231209718
-202.958509145616,-27.842681477246614
-202.19935752802945,-27.418807141990534
-201.43504949367966,-27.015791978138644
-200.6658460530602,-26.633773615000216
-199.89200988844135,-26.272882511496285
-199.11380526416443,-25.93324191160808
-198.33149793639572,-25.614967802289307
-197.54535506237096,-25.318168873856756
-196.75564510916143,-25.04294648287256
-195.96263776199274,-24.78939461753111
-195.16660383214742,-24.557599865562146
-194.3678151644833,-24.347641384661117
-193.56654454459857,-24.159590875456914
-192.76306560567593,-23.99351255702615
-191.95765273503687,-23.8494631449624
-191.15058098043895,-23.727491832007956
-190.34212595614696,-23.62764027125445
-189.53256374881107,-23.549942561918385
-188.72217082318346,-23.49442523769632
-187.9112239277058,-23.46110725770363
-187.1,-23.44999999999996
