x,y
-231.0,-88.49999999999993
-230.9948950509496,-87.18546218584171
-230.97958139106512,-85.87123009599175
-230.9540625818707,-84.55760938365546
-230.91834455831935,-83.24490555984916
-230.87243562741295,-81.93342392234679
-230.81634646627015,-80.62346948467643
-230.75009011964306,-79.3153469051826
-230.67368199688354,-78.00936041617143
-230.5871398683595,-76.70581375315487
-230.4904838613217,-75.40501008421035
-230.38373645522316,-74.10725193947246
-230.2669224764907,-72.81284114077303
-230.14006909275113,-71.52207873144589
-230.003205806513,-70.2352649063127
-229.85636444830484,-68.95269894186619
-229.69957916927262,-67.67467912666682
-229.53288643323685,-66.40150269196936
-229.35632500821234,-65.13346574259525
-229.16993595739174,-63.87086318806709
-228.97376262959548,-62.61398867402096
-228.76785064918997,-61.363134513912726
-228.55224790547678,-60.1185916210343
-228.32700454155483,-58.880649440855336
-228.0921729426586,-57.649595883706446
-227.8478077239748,-56.42571725781939
-227.59396571794036,-55.20929820273999
-227.3307059610249,-54.00062162312878
-227.05808968000042,-52.799968622965615
-226.7761802777018,-51.607618440172715
-226.48504331828096,-50.42384838167188
-226.18474651195865,-49.24893375889072
-225.87535969927683,-48.08314782373302
-225.5569548348558,-46.926761705028035
-225.22960597065955,-45.78004434547365
-224.89338923877347,-44.64326243908793
-224.54838283369804,-43.51668036918354
-224.19466699416316,-42.40056014687975
-223.83232398446665,-41.29516135016603
-223.46143807534222,-40.20074106353159
-223.0820955243602,-39.117553818174706
-222.69438455586663,-38.0458515328061
-222.29839534046474,-36.98588345505963
-221.89421997404372,-35.93789610352446
-221.48195245636003,-34.90213321041179
-221.06168866917554,-33.878835664869555
-220.6335263539582,-32.868241456958486
-220.19756508915003,-31.870585622302393
-219.7539062670083,-30.88610018742544
-219.30265307002423,-29.915014115789397
-218.84391044692578,-28.957553254543207
-218.3777850882696,-28.01394028199732
-217.9043854016278,-27.084394655835013
-217.42382148637532,-26.169132562072818
-216.93620510808404,-25.26836686478154
-216.44164967252925,-24.382307056580444
-215.94027019931463,-23.511159209914908
-215.43218329512203,-22.65512592912991
-214.91750712659191,-21.814406303349998
-214.3963613928413,-20.989195860176793
-213.86886729762497,-20.179686520214773
-213.3351475211471,-19.386066552435935
-212.7953261915291,-18.608520530393946
-212.24952885594115,-17.847229289297218
-211.69788245140325,-17.102369883952107
-211.14051527526343,-16.374115547584765
-210.57755695535934,-15.662635651552023
-210.00913841987054,-14.968095665950443
-209.43539186686817,-14.290657121132682
-208.85645073356966,-13.630477570139973
-208.27244966530472,-12.98771055205988
-207.68352448420092,-12.362505556317444
-207.08981215759505,-11.755007987908002
-206.49145076617867,-11.165359133580381
-205.88857947188416,-10.5936961289773
-205.2813384855198,-10.040151926741714
-204.6698690341606,-9.504855265595708
-204.05431332830292,-8.987930640399497
-203.43481452879033,-8.489498273197484
-202.8115167135184,-8.009674085257998
-202.18456484392632,-7.548569670113267
-201.55410473128296,-7.106292267605937
-200.92028300277528,-6.682944738948123
-200.28324706740693,-6.278625542798821
-199.6431450817152,-5.893428712365122
-199.000125915314,-5.527443833532871
-198.35433911627078,-5.180756024031439
-197.70593487632624,-4.853445913637756
-197.05506399596368,-4.545589625424128
-196.40187784933724,-4.257258758054178
-195.74652834906638,-3.988520369130981
-195.0891679109056,-3.7394369596013917
-194.42994941829647,-3.51006645922007
-193.76902618681163,-3.3004622130766705
-193.10655192849765,-3.110672969189295
-192.44268071612612,-2.9407428671671028
-191.77756694736055,-2.7907114279445864
-191.11136530884804,-2.660613544590234
-190.44423074024328,-2.5504794741913486
-189.77631839817423,-2.4603348308171036
-189.10778362015688,-2.3902005795614087
-188.4387818884682,-2.3400930316670525
-187.76946879398545,-2.310023840732171
-187.1,-2.2999999999999545
